epoch,tr_loss,tr_auc,val_loss,val_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,No Finding,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,0.09439637050569327,0.5971900957614504,0.08854169898957032,0.6230784151979653,0.653,0.55,0.647,0.816,0.653,0.622,0.604,0.572,0.623,0.554,0.659,0.58,0.591,0.558,0.65
2,0.09165046594447854,0.6682547771121404,0.08098035563884083,0.6862490597219301,0.697,0.64,0.706,0.839,0.743,0.724,0.685,0.685,0.641,0.646,0.703,0.609,0.657,0.602,0.733
3,0.08992646240776832,0.7075008644455872,0.07741379428096888,0.7171894977380961,0.717,0.694,0.729,0.854,0.783,0.767,0.705,0.758,0.657,0.695,0.725,0.639,0.696,0.622,0.767
4,0.08849848399552354,0.7406716231846072,0.07560299970011093,0.7432518525079257,0.741,0.738,0.749,0.869,0.814,0.792,0.726,0.811,0.671,0.724,0.742,0.667,0.731,0.644,0.797
5,0.08769901555544386,0.7487454175536117,0.0731116330538931,0.7639470048986399,0.764,0.766,0.767,0.878,0.836,0.821,0.754,0.834,0.683,0.742,0.754,0.69,0.752,0.659,0.821
6,0.08598695019238338,0.7791023916940134,0.07175131036799076,0.7808962395716287,0.778,0.808,0.779,0.884,0.854,0.853,0.763,0.847,0.688,0.765,0.762,0.699,0.764,0.68,0.837
7,0.08520670592531392,0.7894789276920765,0.07096539425419378,0.7924552908173855,0.785,0.844,0.787,0.887,0.865,0.87,0.767,0.844,0.692,0.786,0.768,0.703,0.774,0.695,0.846
8,0.08391365069079572,0.8060033642343948,0.07052977643929126,0.8007884392327912,0.79,0.866,0.794,0.89,0.872,0.88,0.771,0.855,0.695,0.803,0.773,0.706,0.782,0.706,0.854
9,0.0829741408394175,0.8139765670405605,0.07036339201963887,0.8056815749078811,0.794,0.876,0.798,0.891,0.876,0.887,0.774,0.857,0.697,0.814,0.775,0.706,0.788,0.715,0.859
10,0.08191092252186788,0.8270899127063057,0.07030399618345015,0.8083570105344692,0.796,0.88,0.8,0.893,0.878,0.888,0.777,0.855,0.699,0.821,0.777,0.707,0.792,0.717,0.861
11,0.08101388584393282,0.8341351986492663,0.07041661125569741,0.8091618838266634,0.796,0.882,0.801,0.893,0.879,0.887,0.777,0.857,0.699,0.824,0.777,0.707,0.793,0.719,0.863
12,0.08008024189185034,0.8454261315336048,0.07054386947848798,0.809286788921325,0.796,0.881,0.803,0.893,0.879,0.884,0.778,0.866,0.7,0.827,0.777,0.706,0.794,0.717,0.861
13,0.07895410829411952,0.8536354354390266,0.07071409291455984,0.8080207489240799,0.795,0.879,0.803,0.893,0.879,0.879,0.773,0.878,0.702,0.826,0.777,0.707,0.795,0.715,0.859
14,0.0779707406852584,0.8601465548915928,0.07095939627919697,0.8062948812234777,0.793,0.876,0.802,0.89,0.878,0.877,0.771,0.879,0.703,0.823,0.776,0.703,0.794,0.715,0.856
15,0.07681564089397065,0.8694971448870789,0.07122682192538743,0.8053527922402015,0.792,0.875,0.802,0.889,0.877,0.873,0.772,0.882,0.703,0.822,0.775,0.702,0.794,0.717,0.852
16,0.07562879500980076,0.8774233508985497,0.07147863726774005,0.80331614394505,0.79,0.873,0.8,0.886,0.876,0.873,0.767,0.873,0.703,0.821,0.775,0.702,0.79,0.713,0.85
17,0.07453047273621694,0.8832853948541184,0.07182757745415873,0.8004503635163274,0.789,0.869,0.797,0.883,0.874,0.871,0.762,0.867,0.702,0.816,0.774,0.7,0.784,0.71,0.847
18,0.07346616085995449,0.8904623019039294,0.07214798898545859,0.7973526990172244,0.787,0.863,0.794,0.881,0.872,0.868,0.759,0.862,0.701,0.812,0.772,0.697,0.784,0.706,0.844
19,0.07250451704765536,0.8968858040068088,0.07250560401740902,0.7939571563211671,0.784,0.86,0.79,0.876,0.87,0.866,0.753,0.841,0.7,0.807,0.771,0.696,0.78,0.7,0.839
20,0.07146218619019397,0.9026371029433194,0.0729105752254817,0.7908112287278368,0.782,0.855,0.788,0.873,0.868,0.866,0.746,0.858,0.699,0.804,0.77,0.695,0.777,0.693,0.835
